revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,last_subscription_revenue,last_interchange_revenue,last_banking_fees,last_deposit_interest_revenue,last_total_revenue,segment_company_share_pct
Active,BTP,free,persona_x_initial_plan,1089,701.39903225799999700000,9608.49747719994788219900,2518.80000000000000000000,22252.56936986137021153693,35081.26587931931809073593,92.92
At-risk,BTP,free,persona_x_initial_plan,49,114.42000000000000000000,126.48556799999937881000,56.40000000000000000000,266.66369136931508566473,563.96925936931446447473,4.18
Churned proxy,BTP,free,persona_x_initial_plan,34,0.00000000000000000000,157.71619779111386689800,407.51999999999999740000,68.91126367726027136094,634.14746146837413565894,2.9
Active,BTP,plus,persona_x_initial_plan,554,12089.88172042800000000000,25838.53410239986002828530,684.56000000000000000000,6487.16033291561631057512,45100.13615574347633886042,91.27
At-risk,BTP,plus,persona_x_initial_plan,27,411.00000000000000000000,1040.63054399999585324000,0.00000000000000000000,42.23733128712329516122,1493.86787528711914840122,4.45
Churned proxy,BTP,plus,persona_x_initial_plan,26,289.90000000000000000000,323.34507211515903058000,0.08000000000000000000,104.82976400931514464717,718.15483612447417522717,4.28
Active,BTP,start,persona_x_initial_plan,1166,11931.08572580664515800000,27634.10389199985091092200,2064.02000000000002000000,13119.60405250191839120910,54748.81367030841448013110,93.28
At-risk,BTP,start,persona_x_initial_plan,48,380.00000000000000000000,483.90339959999800431000,12.48000000000000071800,107.45279265589041853400,983.83619225588842356200,3.84
Churned proxy,BTP,start,persona_x_initial_plan,36,218.00000000000000000000,227.94483933730949995000,12.95999999999999810000,46.40203834246578001614,505.30687767977527806614,2.88
Active,Bankers_Insurance,business,persona_x_initial_plan,1,80.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.09512865534246577000,80.09512865534246577000,100.0
Active,Bankers_Insurance,free,persona_x_initial_plan,145,28.18258064500000000000,543.69129419999705657000,1421.20000000000000000000,4312.96191478465786944508,6306.03578962965492601508,92.95
At-risk,Bankers_Insurance,free,persona_x_initial_plan,4,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,2.58492166136986315620,2.58492166136986315620,2.56
Churned proxy,Bankers_Insurance,free,persona_x_initial_plan,7,0.00000000000000000000,0.00000000000000000000,276.00000000000000000000,5.08858745753424775167,281.08858745753424775167,4.49
