month_start,persona,initial_subscription_group,segment_level,revenue_type,prior_revenue,dropped_prior_revenue,one_month_gross_revenue_dropout_pct
2025-11-01,Consultant,plus,persona_x_initial_plan,Subscription,17.50000000000000000000,,
2025-11-01,Consultant,plus,persona_x_initial_plan,Total revenue,331.07391925646775353040,,
2025-11-01,Consultant,start,persona_x_initial_plan,Banking fees,1184.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,Consultant,start,persona_x_initial_plan,Deposit interest,481.39410298794518041814,0.32449362739726023000,0.07
2025-11-01,Consultant,start,persona_x_initial_plan,Interchange,423.96507685046268678800,6.95081122441054160000,1.64
2025-11-01,Consultant,start,persona_x_initial_plan,Subscription,150.82358871000000000000,9.62500000000000000000,6.38
2025-11-01,Consultant,start,persona_x_initial_plan,Total revenue,2240.18276854840786720614,16.90030485180780183000,0.75
2025-11-01,Developer_IT,business,persona_x_initial_plan,Banking fees,,,
2025-11-01,Developer_IT,business,persona_x_initial_plan,Deposit interest,,,
2025-11-01,Developer_IT,business,persona_x_initial_plan,Interchange,,,
2025-11-01,Developer_IT,business,persona_x_initial_plan,Subscription,,,
2025-11-01,Developer_IT,business,persona_x_initial_plan,Total revenue,,,
2025-11-01,Developer_IT,free,persona_x_initial_plan,Banking fees,816.00000000000000000000,138.00000000000000000000,16.91
2025-11-01,Developer_IT,free,persona_x_initial_plan,Deposit interest,67.86026224273973093470,0.30299811726027400300,0.45
2025-11-01,Developer_IT,free,persona_x_initial_plan,Interchange,22.08577237391380847000,8.25724743531012530000,37.39
2025-11-01,Developer_IT,free,persona_x_initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,Developer_IT,free,persona_x_initial_plan,Total revenue,905.94603461665353940470,146.56024555257039930300,16.18
2025-11-01,Developer_IT,plus,persona_x_initial_plan,Banking fees,276.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,Developer_IT,plus,persona_x_initial_plan,Deposit interest,16.68922552547945126180,0.00384597260273972580,0.02
2025-11-01,Developer_IT,plus,persona_x_initial_plan,Interchange,168.05071470680476960000,0.00000000000000000000,0.0
2025-11-01,Developer_IT,plus,persona_x_initial_plan,Subscription,48.38541666600000000000,0.00000000000000000000,0.0
2025-11-01,Developer_IT,plus,persona_x_initial_plan,Total revenue,509.12535689828422086180,0.00384597260273972580,0.0
2025-11-01,Developer_IT,start,persona_x_initial_plan,Banking fees,1526.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,Developer_IT,start,persona_x_initial_plan,Deposit interest,74.22985201589040964790,0.27479452054794523000,0.37
2025-11-01,Developer_IT,start,persona_x_initial_plan,Interchange,213.59383692427595436000,0.00000000000000000000,0.0
2025-11-01,Developer_IT,start,persona_x_initial_plan,Subscription,55.40625000000000000000,0.00000000000000000000,0.0
2025-11-01,Developer_IT,start,persona_x_initial_plan,Total revenue,1869.22993894016636400790,0.27479452054794523000,0.01
2025-11-01,Media_Publishing,business,persona_x_initial_plan,Banking fees,,,
2025-11-01,Media_Publishing,business,persona_x_initial_plan,Deposit interest,,,
2025-11-01,Media_Publishing,business,persona_x_initial_plan,Interchange,,,
2025-11-01,Media_Publishing,business,persona_x_initial_plan,Subscription,,,
2025-11-01,Media_Publishing,business,persona_x_initial_plan,Total revenue,,,
2025-11-01,Media_Publishing,free,persona_x_initial_plan,Banking fees,256.00000000000000000000,118.00000000000000000000,46.09
2025-11-01,Media_Publishing,free,persona_x_initial_plan,Deposit interest,8.37711434958903961299,0.04837347945205480000,0.58
2025-11-01,Media_Publishing,free,persona_x_initial_plan,Interchange,0.80083658888885267000,0.00000000000000000000,0.0
2025-11-01,Media_Publishing,free,persona_x_initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,Media_Publishing,free,persona_x_initial_plan,Total revenue,265.17795093847789228299,118.04837347945205480000,44.52
2025-11-01,Media_Publishing,plus,persona_x_initial_plan,Banking fees,0.00000000000000000000,,
2025-11-01,Media_Publishing,plus,persona_x_initial_plan,Deposit interest,59.69368183780821400000,,
2025-11-01,Media_Publishing,plus,persona_x_initial_plan,Interchange,26.91862734335986900000,,
2025-11-01,Media_Publishing,plus,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Media_Publishing,plus,persona_x_initial_plan,Total revenue,86.61230918116808300000,,
2025-11-01,Media_Publishing,start,persona_x_initial_plan,Banking fees,0.00000000000000000000,0.00000000000000000000,
2025-11-01,Media_Publishing,start,persona_x_initial_plan,Deposit interest,165.70166582082191566966,4.80986301369863070000,2.9
2025-11-01,Media_Publishing,start,persona_x_initial_plan,Interchange,167.01899012981652010000,0.00000000000000000000,0.0
