reporting_month,persona,initial_subscription_group,segment_level,revenue_companies_two_months_prior,confirmed_two_month_inactive_companies,base_month_revenue,revenue_from_confirmed_inactive_companies,confirmed_two_month_inactivity_rate_pct,confirmed_two_month_revenue_rate_pct
2025-12-01,Bikers_Drivers,start,persona_x_initial_plan,33,2,914.81212202372730366188,132.82260294810971527862,6.06,14.52
2025-12-01,Cleaning_CallCenters,free,persona_x_initial_plan,4,0,139.62245045698630113484,,0.0,
2025-12-01,Cleaning_CallCenters,start,persona_x_initial_plan,2,0,9.61854984821917610000,,0.0,
2025-12-01,Consultant,business,persona_x_initial_plan,2,0,4.81070023616438436301,,0.0,
2025-12-01,Consultant,free,persona_x_initial_plan,80,2,2483.46164341116695007828,0.42399211287671227000,2.5,0.02
2025-12-01,Consultant,plus,persona_x_initial_plan,15,0,331.07391925646775353040,,0.0,
2025-12-01,Consultant,start,persona_x_initial_plan,105,1,2240.18276854840786720614,7.12015142715026760000,0.95,0.32
2025-12-01,Developer_IT,free,persona_x_initial_plan,35,4,905.94603461665353940470,146.56024555257039930300,11.43,16.18
2025-12-01,Developer_IT,plus,persona_x_initial_plan,13,1,509.12535689828422086180,0.00384597260273972580,7.69,0.0
2025-12-01,Developer_IT,start,persona_x_initial_plan,42,1,1869.22993894016636400790,0.27479452054794523000,2.38,0.01
2025-12-01,Media_Publishing,free,persona_x_initial_plan,15,1,265.17795093847789228299,118.04837347945205480000,6.67,44.52
2025-12-01,Media_Publishing,plus,persona_x_initial_plan,1,0,86.61230918116808300000,,0.0,
2025-12-01,Media_Publishing,start,persona_x_initial_plan,18,0,359.09565595063843576966,,0.0,
2025-12-01,Medical_Professionals,free,persona_x_initial_plan,5,0,8.65905558621354764900,,0.0,
2025-12-01,Medical_Professionals,plus,persona_x_initial_plan,1,0,0.02746849315068492600,,0.0,
2025-12-01,Medical_Professionals,start,persona_x_initial_plan,8,0,17.07554413961862228443,,0.0,
2025-12-01,Others,business,persona_x_initial_plan,6,1,477.95256366522227873000,128.97016968800743570000,16.67,26.98
2025-12-01,Others,free,persona_x_initial_plan,59,1,1707.23183782586830288093,0.37024657534246574000,1.69,0.02
2025-12-01,Others,plus,persona_x_initial_plan,34,2,1118.29485788898208482427,4.35168623620805333200,5.88,0.39
2025-12-01,Others,start,persona_x_initial_plan,92,2,1667.46539174948908047336,0.87494467053634265130,2.17,0.05
2025-12-01,Professeur,free,persona_x_initial_plan,12,0,128.26939399285228624650,,0.0,
