inactive_months,persona,initial_subscription_group,segment_level,spells_reaching_inactivity_threshold,eventually_returned_in_observed_window,unresolved_at_april_cutoff,spells_with_1_month_followup,returned_within_next_1_month,spells_with_2_month_followup,returned_within_next_2_months,observed_return_lower_bound_pct,return_within_next_1_month_pct,return_within_next_2_months_pct
4,Professeur,free,persona_x_initial_plan,4,0,4,3,0,0,0,0.0,0.0,
4,Professeur,start,persona_x_initial_plan,2,0,2,1,0,0,0,0.0,0.0,
4,Repair,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
4,Repair,free,persona_x_initial_plan,3,0,3,2,0,0,0,0.0,0.0,
4,Restauration,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
4,Restauration,free,persona_x_initial_plan,5,0,5,4,0,0,0,0.0,0.0,
4,Restauration,start,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
4,Retail,business,persona_x_initial_plan,3,0,3,1,0,1,0,0.0,0.0,0.0
4,Retail,free,persona_x_initial_plan,11,0,11,5,0,1,0,0.0,0.0,0.0
4,Retail,plus,persona_x_initial_plan,9,0,9,2,0,0,0,0.0,0.0,
4,Retail,start,persona_x_initial_plan,22,0,22,7,0,0,0,0.0,0.0,
4,Wholesale,free,persona_x_initial_plan,2,0,2,1,0,0,0,0.0,0.0,
4,Wholesale,plus,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
4,Wholesale,start,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
5,ALL,business,initial_plan,10,0,10,3,0,0,0,0.0,0.0,
5,ALL,free,initial_plan,51,0,51,11,0,0,0,0.0,0.0,
5,ALL,plus,initial_plan,33,0,33,9,0,0,0,0.0,0.0,
5,ALL,start,initial_plan,41,0,41,7,0,0,0,0.0,0.0,
5,ALL,ALL,overall,135,0,135,30,0,0,0,0.0,0.0,
5,Automobile_Trade_Repair,ALL,persona,7,0,7,0,0,0,0,0.0,,
