inactive_months,persona,initial_subscription_group,segment_level,spells_reaching_inactivity_threshold,eventually_returned_in_observed_window,unresolved_at_april_cutoff,spells_with_1_month_followup,returned_within_next_1_month,spells_with_2_month_followup,returned_within_next_2_months,observed_return_lower_bound_pct,return_within_next_1_month_pct,return_within_next_2_months_pct
3,Bikers_Drivers,plus,persona_x_initial_plan,21,0,21,18,0,10,0,0.0,0.0,0.0
3,Bikers_Drivers,start,persona_x_initial_plan,30,0,30,17,0,6,0,0.0,0.0,0.0
3,Cleaning_CallCenters,start,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
3,Consultant,business,persona_x_initial_plan,4,0,4,4,0,1,0,0.0,0.0,0.0
3,Consultant,free,persona_x_initial_plan,36,3,33,22,2,9,2,8.3,9.1,22.2
3,Consultant,plus,persona_x_initial_plan,10,0,10,6,0,0,0,0.0,0.0,
3,Consultant,start,persona_x_initial_plan,28,1,27,13,1,5,1,3.6,7.7,20.0
3,Developer_IT,business,persona_x_initial_plan,1,0,1,1,0,1,0,0.0,0.0,0.0
3,Developer_IT,free,persona_x_initial_plan,27,1,26,17,1,9,1,3.7,5.9,11.1
3,Developer_IT,plus,persona_x_initial_plan,6,0,6,2,0,1,0,0.0,0.0,0.0
3,Developer_IT,start,persona_x_initial_plan,9,1,8,5,1,2,0,11.1,20.0,0.0
3,Media_Publishing,free,persona_x_initial_plan,6,1,5,3,1,0,0,16.7,33.3,
3,Media_Publishing,plus,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
3,Media_Publishing,start,persona_x_initial_plan,4,1,3,2,0,1,1,25.0,0.0,100.0
3,Medical_Professionals,start,persona_x_initial_plan,3,0,3,0,0,0,0,0.0,,
3,Others,business,persona_x_initial_plan,17,0,17,13,0,1,0,0.0,0.0,0.0
3,Others,free,persona_x_initial_plan,31,1,30,15,1,5,0,3.2,6.7,0.0
3,Others,plus,persona_x_initial_plan,24,0,24,15,0,8,0,0.0,0.0,0.0
3,Others,start,persona_x_initial_plan,36,0,36,19,0,8,0,0.0,0.0,0.0
3,Professeur,business,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
3,Professeur,free,persona_x_initial_plan,9,0,9,4,0,3,0,0.0,0.0,0.0
3,Professeur,start,persona_x_initial_plan,5,0,5,2,0,1,0,0.0,0.0,0.0
3,Repair,business,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
3,Repair,free,persona_x_initial_plan,5,0,5,3,0,2,0,0.0,0.0,0.0
3,Repair,start,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
3,Restauration,business,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
3,Restauration,free,persona_x_initial_plan,8,0,8,5,0,4,0,0.0,0.0,0.0
3,Restauration,plus,persona_x_initial_plan,3,1,2,1,1,0,0,33.3,100.0,
3,Restauration,start,persona_x_initial_plan,6,0,6,2,0,0,0,0.0,0.0,
3,Retail,business,persona_x_initial_plan,3,0,3,3,0,1,0,0.0,0.0,0.0
3,Retail,free,persona_x_initial_plan,31,2,29,13,2,6,1,6.5,15.4,16.7
3,Retail,plus,persona_x_initial_plan,21,0,21,9,0,2,0,0.0,0.0,0.0
3,Retail,start,persona_x_initial_plan,45,0,45,22,0,7,0,0.0,0.0,0.0
3,Wholesale,free,persona_x_initial_plan,4,0,4,2,0,1,0,0.0,0.0,0.0
3,Wholesale,plus,persona_x_initial_plan,5,0,5,2,0,0,0,0.0,0.0,
3,Wholesale,start,persona_x_initial_plan,4,0,4,1,0,1,0,0.0,0.0,0.0
4,ALL,business,initial_plan,39,0,39,10,0,3,0,0.0,0.0,0.0
4,ALL,free,initial_plan,126,1,125,52,1,11,0,0.8,1.9,0.0
4,ALL,plus,initial_plan,74,1,73,34,1,9,0,1.4,2.9,0.0
4,ALL,start,initial_plan,111,1,110,42,1,7,0,0.9,2.4,0.0
4,ALL,ALL,overall,350,3,347,138,3,30,0,0.9,2.2,0.0
4,Automobile_Trade_Repair,ALL,persona,17,0,17,7,0,0,0,0.0,0.0,
4,BTP,ALL,persona,66,1,65,28,1,10,0,1.5,3.6,0.0
4,Bankers_Insurance,ALL,persona,5,0,5,2,0,0,0,0.0,0.0,
4,Bikers_Drivers,ALL,persona,61,0,61,26,0,6,0,0.0,0.0,0.0
4,Cleaning_CallCenters,ALL,persona,1,0,1,0,0,0,0,0.0,,
4,Consultant,ALL,persona,42,1,41,13,1,3,0,2.4,7.7,0.0
4,Developer_IT,ALL,persona,23,0,23,12,0,4,0,0.0,0.0,0.0
4,Media_Publishing,ALL,persona,5,1,4,1,1,0,0,20.0,100.0,
4,Others,ALL,persona,61,0,61,22,0,5,0,0.0,0.0,0.0
4,Professeur,ALL,persona,7,0,7,4,0,0,0,0.0,0.0,
4,Repair,ALL,persona,4,0,4,2,0,0,0,0.0,0.0,
4,Restauration,ALL,persona,8,0,8,4,0,0,0,0.0,0.0,
4,Retail,ALL,persona,45,0,45,15,0,2,0,0.0,0.0,0.0
4,Wholesale,ALL,persona,5,0,5,2,0,0,0,0.0,0.0,
4,Automobile_Trade_Repair,business,persona_x_initial_plan,2,0,2,2,0,0,0,0.0,0.0,
4,Automobile_Trade_Repair,free,persona_x_initial_plan,6,0,6,1,0,0,0,0.0,0.0,
4,Automobile_Trade_Repair,plus,persona_x_initial_plan,2,0,2,1,0,0,0,0.0,0.0,
4,Automobile_Trade_Repair,start,persona_x_initial_plan,7,0,7,3,0,0,0,0.0,0.0,
4,BTP,business,persona_x_initial_plan,8,0,8,2,0,1,0,0.0,0.0,0.0
4,BTP,free,persona_x_initial_plan,18,0,18,6,0,3,0,0.0,0.0,0.0
4,BTP,plus,persona_x_initial_plan,19,1,18,12,1,4,0,5.3,8.3,0.0
4,BTP,start,persona_x_initial_plan,21,0,21,8,0,2,0,0.0,0.0,0.0
4,Bankers_Insurance,free,persona_x_initial_plan,4,0,4,1,0,0,0,0.0,0.0,
4,Bankers_Insurance,start,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
4,Bikers_Drivers,business,persona_x_initial_plan,5,0,5,2,0,0,0,0.0,0.0,
4,Bikers_Drivers,free,persona_x_initial_plan,21,0,21,8,0,1,0,0.0,0.0,0.0
4,Bikers_Drivers,plus,persona_x_initial_plan,18,0,18,10,0,3,0,0.0,0.0,0.0
4,Bikers_Drivers,start,persona_x_initial_plan,17,0,17,6,0,2,0,0.0,0.0,0.0
4,Cleaning_CallCenters,start,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
4,Consultant,business,persona_x_initial_plan,4,0,4,1,0,0,0,0.0,0.0,
4,Consultant,free,persona_x_initial_plan,20,1,19,8,1,2,0,5.0,12.5,0.0
4,Consultant,plus,persona_x_initial_plan,6,0,6,0,0,0,0,0.0,,
4,Consultant,start,persona_x_initial_plan,12,0,12,4,0,1,0,0.0,0.0,0.0
4,Developer_IT,business,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
4,Developer_IT,free,persona_x_initial_plan,16,0,16,8,0,3,0,0.0,0.0,0.0
4,Developer_IT,plus,persona_x_initial_plan,2,0,2,1,0,1,0,0.0,0.0,0.0
4,Developer_IT,start,persona_x_initial_plan,4,0,4,2,0,0,0,0.0,0.0,
4,Media_Publishing,free,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
4,Media_Publishing,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
4,Media_Publishing,start,persona_x_initial_plan,2,1,1,1,1,0,0,50.0,100.0,
4,Others,business,persona_x_initial_plan,13,0,13,1,0,1,0,0.0,0.0,0.0
4,Others,free,persona_x_initial_plan,14,0,14,5,0,1,0,0.0,0.0,0.0
4,Others,plus,persona_x_initial_plan,15,0,15,8,0,1,0,0.0,0.0,0.0
4,Others,start,persona_x_initial_plan,19,0,19,8,0,2,0,0.0,0.0,0.0
4,Professeur,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
