activation_month,observation_month,months_since_activation,persona,initial_subscription_group,segment_level,activated_cohort_size,active_companies,continuously_active_companies,reactivated_active_companies,active_share_pct,continuously_active_share_pct,reactivated_active_share_pct,average_current_streak_among_active,total_revenue,monthly_revenue_per_original_activated_company
2025-10-01,2026-04-01,6,Bikers_Drivers,ALL,persona,100,68,66,2,68.0,66.0,2.0,6.91,3446.25489963012651137642,34.462548996301265
2025-10-01,2026-04-01,6,Cleaning_CallCenters,ALL,persona,6,6,6,0,100.0,100.0,0.0,7.0,55.76558626246569942000,9.294264377077615
2025-10-01,2026-04-01,6,Consultant,ALL,persona,202,182,178,4,90.1,88.12,1.98,6.92,10459.90640974510028887923,51.78171489972822
2025-10-01,2026-04-01,6,Developer_IT,ALL,persona,91,73,69,4,80.22,75.82,4.4,6.79,3426.62086064696750227127,37.65517429282382
2025-10-01,2026-04-01,6,Media_Publishing,ALL,persona,34,30,29,1,88.24,85.29,2.94,6.83,1117.09107948766916532332,32.85561998493145
2025-10-01,2026-04-01,6,Medical_Professionals,ALL,persona,14,13,13,0,92.86,92.86,0.0,7.0,839.22744606356034605400,59.9448175759686
2025-10-01,2026-04-01,6,Others,ALL,persona,191,157,155,2,82.2,81.15,1.05,6.94,5757.13380126464476741447,30.14206178672589
2025-10-01,2026-04-01,6,Professeur,ALL,persona,34,30,30,0,88.24,88.24,0.0,7.0,1376.05883585753257168400,40.47231870169213
2025-10-01,2026-04-01,6,Repair,ALL,persona,8,7,7,0,87.5,87.5,0.0,7.0,129.52267197698594584000,16.190333997123243
2025-10-01,2026-04-01,6,Restauration,ALL,persona,28,25,23,2,89.29,82.14,7.14,6.52,1388.19565688970947792330,49.57841631748962
2025-10-01,2026-04-01,6,Retail,ALL,persona,157,131,130,1,83.44,82.8,0.64,6.95,4975.13320516874162396826,31.688746529737205
2025-10-01,2026-04-01,6,Wholesale,ALL,persona,23,17,16,1,73.91,69.57,4.35,6.82,906.57270965479191812779,39.416204767599645
2025-10-01,2026-04-01,6,Automobile_Trade_Repair,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,7.0,476.09040669698559370273,95.21808133939712
2025-10-01,2026-04-01,6,Automobile_Trade_Repair,free,persona_x_initial_plan,15,13,13,0,86.67,86.67,0.0,7.0,151.17741944328724032650,10.078494629552484
2025-10-01,2026-04-01,6,Automobile_Trade_Repair,plus,persona_x_initial_plan,11,10,10,0,90.91,90.91,0.0,7.0,1344.20379009369462726070,122.20034455397223
2025-10-01,2026-04-01,6,Automobile_Trade_Repair,start,persona_x_initial_plan,22,16,16,0,72.73,72.73,0.0,7.0,459.93918090739629561320,20.90632640488165
2025-10-01,2026-04-01,6,BTP,business,persona_x_initial_plan,8,4,4,0,50.0,50.0,0.0,7.0,1189.94351607561157432830,148.74293950945145
2025-10-01,2026-04-01,6,BTP,free,persona_x_initial_plan,73,68,67,1,93.15,91.78,1.37,6.96,2598.38347054520160854760,35.59429411705756
2025-10-01,2026-04-01,6,BTP,plus,persona_x_initial_plan,68,51,50,1,75.0,73.53,1.47,6.9,5014.09030323066790996460,73.73662210633336
2025-10-01,2026-04-01,6,BTP,start,persona_x_initial_plan,91,80,80,0,87.91,87.91,0.0,7.0,5327.72954663231614065415,58.546478534421055
2025-10-01,2026-04-01,6,Bankers_Insurance,free,persona_x_initial_plan,8,8,7,1,100.0,87.5,12.5,6.75,93.58262391232875174000,11.697827989041095
2025-10-01,2026-04-01,6,Bankers_Insurance,start,persona_x_initial_plan,7,6,6,0,85.71,85.71,0.0,7.0,240.34381152054732204700,34.33483021722105
2025-10-01,2026-04-01,6,Bikers_Drivers,business,persona_x_initial_plan,5,3,3,0,60.0,60.0,0.0,7.0,221.05510970684917864220,44.211021941369836
2025-10-01,2026-04-01,6,Bikers_Drivers,free,persona_x_initial_plan,36,25,23,2,69.44,63.89,5.56,6.76,559.99769870904017250081,15.55549163080667
2025-10-01,2026-04-01,6,Bikers_Drivers,plus,persona_x_initial_plan,26,16,16,0,61.54,61.54,0.0,7.0,1841.01275429862279230004,70.80818285763934
2025-10-01,2026-04-01,6,Bikers_Drivers,start,persona_x_initial_plan,33,24,24,0,72.73,72.73,0.0,7.0,824.18933691561436793337,24.975434451988313
2025-10-01,2026-04-01,6,Cleaning_CallCenters,free,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,7.0,42.47534047068487902000,10.61883511767122
2025-10-01,2026-04-01,6,Cleaning_CallCenters,start,persona_x_initial_plan,2,2,2,0,100.0,100.0,0.0,7.0,13.29024579178082040000,6.6451228958904105
2025-10-01,2026-04-01,6,Consultant,business,persona_x_initial_plan,2,1,1,0,50.0,50.0,0.0,7.0,747.42584916109217000000,373.7129245805461
2025-10-01,2026-04-01,6,Consultant,free,persona_x_initial_plan,80,71,70,1,88.75,87.5,1.25,6.97,2633.57874295342106497363,32.919734286917766
2025-10-01,2026-04-01,6,Consultant,plus,persona_x_initial_plan,15,12,12,0,80.0,80.0,0.0,7.0,1241.85327768383296997700,82.79021851225552
2025-10-01,2026-04-01,6,Consultant,start,persona_x_initial_plan,105,98,95,3,93.33,90.48,2.86,6.87,5837.04853994675408392860,55.59093847568337
2025-10-01,2026-04-01,6,Developer_IT,free,persona_x_initial_plan,35,24,23,1,68.57,65.71,2.86,6.83,801.31849234136882161227,22.894814066896252
2025-10-01,2026-04-01,6,Developer_IT,plus,persona_x_initial_plan,13,11,11,0,84.62,84.62,0.0,7.0,828.22516994395781330000,63.709628457227524
2025-10-01,2026-04-01,6,Developer_IT,start,persona_x_initial_plan,43,38,35,3,88.37,81.4,6.98,6.71,1797.07719836164086735900,41.79249298515444
2025-10-01,2026-04-01,6,Media_Publishing,free,persona_x_initial_plan,15,13,12,1,86.67,80.0,6.67,6.62,131.67412811178041836752,8.778275207452028
2025-10-01,2026-04-01,6,Media_Publishing,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,7.0,209.99257708383489900000,209.9925770838349
2025-10-01,2026-04-01,6,Media_Publishing,start,persona_x_initial_plan,18,16,16,0,88.89,88.89,0.0,7.0,775.42437429205384795580,43.0791319051141
2025-10-01,2026-04-01,6,Medical_Professionals,free,persona_x_initial_plan,5,4,4,0,80.0,80.0,0.0,7.0,322.06132032328749910000,64.41226406465749
2025-10-01,2026-04-01,6,Medical_Professionals,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,7.0,73.49396612438354470000,73.49396612438355
2025-10-01,2026-04-01,6,Medical_Professionals,start,persona_x_initial_plan,8,8,8,0,100.0,100.0,0.0,7.0,443.67215961588930225400,55.459019951986164
2025-10-01,2026-04-01,6,Others,business,persona_x_initial_plan,6,3,3,0,50.0,50.0,0.0,7.0,423.32181489808133527000,70.5536358163469
2025-10-01,2026-04-01,6,Others,free,persona_x_initial_plan,59,53,53,0,89.83,89.83,0.0,7.0,1234.52333080164086576930,20.92412425087527
2025-10-01,2026-04-01,6,Others,plus,persona_x_initial_plan,34,22,20,2,64.71,58.82,5.88,6.59,1161.69948514027083699907,34.16763191589032
2025-10-01,2026-04-01,6,Others,start,persona_x_initial_plan,92,79,79,0,85.87,85.87,0.0,7.0,2937.58917042465172937610,31.930317069833173
2025-10-01,2026-04-01,6,Professeur,free,persona_x_initial_plan,12,10,10,0,83.33,83.33,0.0,7.0,195.39643762465708566700,16.283036468721424
2025-10-01,2026-04-01,6,Professeur,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,7.0,520.89692249589052000000,520.8969224958905
2025-10-01,2026-04-01,6,Professeur,start,persona_x_initial_plan,21,19,19,0,90.48,90.48,0.0,7.0,659.76547573698496601700,31.417403606523095
2025-10-01,2026-04-01,6,Repair,free,persona_x_initial_plan,3,2,2,0,66.67,66.67,0.0,7.0,2.49610241698628840600,0.8320341389954296
2025-10-01,2026-04-01,6,Repair,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,7.0,40.39875595890395453000,40.398755958903955
2025-10-01,2026-04-01,6,Repair,start,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,7.0,86.62781360109570290400,21.656953400273927
2025-10-01,2026-04-01,6,Restauration,free,persona_x_initial_plan,9,7,7,0,77.78,77.78,0.0,7.0,106.77909265315023445110,11.864343628127804
2025-10-01,2026-04-01,6,Restauration,plus,persona_x_initial_plan,12,12,10,2,100.0,83.33,16.67,6.0,1125.66548811272414715720,93.80545734272702
2025-10-01,2026-04-01,6,Restauration,start,persona_x_initial_plan,7,6,6,0,85.71,85.71,0.0,7.0,155.75107612383509631500,22.250153731976443
2025-10-01,2026-04-01,6,Retail,business,persona_x_initial_plan,1,0,0,0,0.0,0.0,0.0,,0.00000000000000000000,0.0
2025-10-01,2026-04-01,6,Retail,free,persona_x_initial_plan,49,41,41,0,83.67,83.67,0.0,7.0,988.15998831890103622049,20.166530373855124
2025-10-01,2026-04-01,6,Retail,plus,persona_x_initial_plan,25,18,18,0,72.0,72.0,0.0,7.0,1990.93691503764995525330,79.637476601506
2025-10-01,2026-04-01,6,Retail,start,persona_x_initial_plan,82,72,71,1,87.8,86.59,1.22,6.92,1996.03630181219063249447,24.341906119660862
2025-10-01,2026-04-01,6,Wholesale,business,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,7.0,86.08188994191778980000,86.0818899419178
2025-10-01,2026-04-01,6,Wholesale,free,persona_x_initial_plan,6,3,3,0,50.0,50.0,0.0,7.0,0.40308178520547949300,0.06718029753424658
2025-10-01,2026-04-01,6,Wholesale,plus,persona_x_initial_plan,3,2,2,0,66.67,66.67,0.0,7.0,50.00344584767123287639,16.667815282557076
2025-10-01,2026-04-01,6,Wholesale,start,persona_x_initial_plan,13,11,10,1,84.62,76.92,7.69,6.73,770.08429207999741595840,59.23725323692288
2025-11-01,2025-11-01,0,ALL,business,initial_plan,50,50,50,0,100.0,100.0,0.0,1.0,5445.93664772575018416235,108.918732954515
2025-11-01,2025-11-01,0,ALL,free,initial_plan,926,921,921,0,99.46,99.46,0.0,1.0,24103.45339323283055776416,26.029647292908024
2025-11-01,2025-11-01,0,ALL,plus,initial_plan,361,360,360,0,99.72,99.72,0.0,1.0,14495.97612268778491088200,40.155058511600515
2025-11-01,2025-11-01,0,ALL,start,initial_plan,1098,1094,1094,0,99.64,99.64,0.0,1.0,30266.43509315711057140509,27.565059283385345
2025-11-01,2025-11-01,0,ALL,ALL,overall,2435,2425,2425,0,99.59,99.59,0.0,1.0,74311.80125680347622421360,30.51819353462155
2025-11-01,2025-11-01,0,Automobile_Trade_Repair,ALL,persona,94,93,93,0,98.94,98.94,0.0,1.0,2846.55285247396508511050,30.282477153978352
2025-11-01,2025-11-01,0,BTP,ALL,persona,450,449,449,0,99.78,99.78,0.0,1.0,17033.80911234623869045877,37.8529091385472
2025-11-01,2025-11-01,0,Bankers_Insurance,ALL,persona,32,32,32,0,100.0,100.0,0.0,1.0,877.14545593899126813100,27.410795498093478
2025-11-01,2025-11-01,0,Bikers_Drivers,ALL,persona,157,155,155,0,98.73,98.73,0.0,1.0,4874.46032462996837752742,31.047517991273683
2025-11-01,2025-11-01,0,Cleaning_CallCenters,ALL,persona,16,16,16,0,100.0,100.0,0.0,1.0,564.69525378566114261440,35.293453361603824
2025-11-01,2025-11-01,0,Consultant,ALL,persona,436,436,436,0,100.0,100.0,0.0,1.0,12894.34964669243643307892,29.574196437367974
2025-11-01,2025-11-01,0,Developer_IT,ALL,persona,230,230,230,0,100.0,100.0,0.0,1.0,9377.84601648600441453337,40.77324354993915
2025-11-01,2025-11-01,0,Media_Publishing,ALL,persona,89,89,89,0,100.0,100.0,0.0,1.0,2549.63211060068927702961,28.64755180450213
2025-11-01,2025-11-01,0,Medical_Professionals,ALL,persona,29,29,29,0,100.0,100.0,0.0,1.0,155.53423697378025337900,5.363249550820009
2025-11-01,2025-11-01,0,Others,ALL,persona,361,359,359,0,99.45,99.45,0.0,1.0,6834.79160717031256309032,18.932940740083968
2025-11-01,2025-11-01,0,Professeur,ALL,persona,75,74,74,0,98.67,98.67,0.0,1.0,950.11690024010164650808,12.66822533653469
2025-11-01,2025-11-01,0,Repair,ALL,persona,15,15,15,0,100.0,100.0,0.0,1.0,167.31618029380898410003,11.154412019587266
2025-11-01,2025-11-01,0,Repair_Installation,ALL,persona,9,9,9,0,100.0,100.0,0.0,1.0,273.96348598877871716600,30.440387332086523
2025-11-01,2025-11-01,0,Restauration,ALL,persona,59,59,59,0,100.0,100.0,0.0,1.0,2433.11504926196501926660,41.23923812308415
2025-11-01,2025-11-01,0,Retail,ALL,persona,321,319,319,0,99.38,99.38,0.0,1.0,10484.57638599100578979531,32.662231732059205
2025-11-01,2025-11-01,0,Wholesale,ALL,persona,62,61,61,0,98.39,98.39,0.0,1.0,1993.89663792976856242427,32.15962319241562
2025-11-01,2025-11-01,0,Automobile_Trade_Repair,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,352.94421339152510723400,70.58884267830503
2025-11-01,2025-11-01,0,Automobile_Trade_Repair,free,persona_x_initial_plan,29,29,29,0,100.0,100.0,0.0,1.0,775.67729089788105439510,26.747492789582108
2025-11-01,2025-11-01,0,Automobile_Trade_Repair,plus,persona_x_initial_plan,27,27,27,0,100.0,100.0,0.0,1.0,1211.28905682799740696760,44.862557660296204
2025-11-01,2025-11-01,0,Automobile_Trade_Repair,start,persona_x_initial_plan,33,32,32,0,96.97,96.97,0.0,1.0,506.64229135656151651380,15.352796707774592
2025-11-01,2025-11-01,0,BTP,business,persona_x_initial_plan,12,12,12,0,100.0,100.0,0.0,1.0,1542.88018956241417171570,128.5733491302012
2025-11-01,2025-11-01,0,BTP,free,persona_x_initial_plan,147,146,146,0,99.32,99.32,0.0,1.0,6063.14799599684952603379,41.24590473467244
2025-11-01,2025-11-01,0,BTP,plus,persona_x_initial_plan,93,93,93,0,100.0,100.0,0.0,1.0,4395.23208912651894566304,47.26056009813461
2025-11-01,2025-11-01,0,BTP,start,persona_x_initial_plan,198,198,198,0,100.0,100.0,0.0,1.0,5032.54883766045604704624,25.416913321517455
2025-11-01,2025-11-01,0,Bankers_Insurance,free,persona_x_initial_plan,20,20,20,0,100.0,100.0,0.0,1.0,553.06084034890372506100,27.653042017445188
2025-11-01,2025-11-01,0,Bankers_Insurance,start,persona_x_initial_plan,12,12,12,0,100.0,100.0,0.0,1.0,324.08461559008754307000,27.007051299173963
2025-11-01,2025-11-01,0,Bikers_Drivers,business,persona_x_initial_plan,6,6,6,0,100.0,100.0,0.0,1.0,617.62248466383566670170,102.93708077730594
2025-11-01,2025-11-01,0,Bikers_Drivers,free,persona_x_initial_plan,56,56,56,0,100.0,100.0,0.0,1.0,1564.22580123790216915436,27.93260359353397
2025-11-01,2025-11-01,0,Bikers_Drivers,plus,persona_x_initial_plan,33,32,32,0,96.97,96.97,0.0,1.0,1660.91256938931096593506,50.330683920888205
2025-11-01,2025-11-01,0,Bikers_Drivers,start,persona_x_initial_plan,62,61,61,0,98.39,98.39,0.0,1.0,1031.69946933891957573630,16.640314021595476
2025-11-01,2025-11-01,0,Cleaning_CallCenters,business,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,80.08898060273972602200,80.08898060273972
2025-11-01,2025-11-01,0,Cleaning_CallCenters,free,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,242.32725790317706130500,48.46545158063542
2025-11-01,2025-11-01,0,Cleaning_CallCenters,plus,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,1.0,10.43624388938610942140,2.6090609723465272
2025-11-01,2025-11-01,0,Cleaning_CallCenters,start,persona_x_initial_plan,6,6,6,0,100.0,100.0,0.0,1.0,231.84277139035824586600,38.64046189839304
2025-11-01,2025-11-01,0,Consultant,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,198.33866972590244182025,39.66773394518049
2025-11-01,2025-11-01,0,Consultant,free,persona_x_initial_plan,184,184,184,0,100.0,100.0,0.0,1.0,5791.94815154180494260607,31.47797908446633
2025-11-01,2025-11-01,0,Consultant,plus,persona_x_initial_plan,41,41,41,0,100.0,100.0,0.0,1.0,1570.76065555407742490220,38.31123550131896
2025-11-01,2025-11-01,0,Consultant,start,persona_x_initial_plan,206,206,206,0,100.0,100.0,0.0,1.0,5333.30216987065162375040,25.889816358595397
2025-11-01,2025-11-01,0,Developer_IT,business,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,1.0,1686.70296450998729789300,421.67574112749685
2025-11-01,2025-11-01,0,Developer_IT,free,persona_x_initial_plan,99,99,99,0,100.0,100.0,0.0,1.0,2882.26807533409125175315,29.1138189427686
2025-11-01,2025-11-01,0,Developer_IT,plus,persona_x_initial_plan,14,14,14,0,100.0,100.0,0.0,1.0,1125.07445775241252434660,80.36246126802948
2025-11-01,2025-11-01,0,Developer_IT,start,persona_x_initial_plan,113,113,113,0,100.0,100.0,0.0,1.0,3683.80051888951334054062,32.60000459194259
2025-11-01,2025-11-01,0,Media_Publishing,business,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,138.06950756164383561900,138.06950756164383
2025-11-01,2025-11-01,0,Media_Publishing,free,persona_x_initial_plan,45,45,45,0,100.0,100.0,0.0,1.0,706.75558243339578597721,15.705679609631018
2025-11-01,2025-11-01,0,Media_Publishing,plus,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,1.0,13.26580067561644090300,1.8951143822309202
2025-11-01,2025-11-01,0,Media_Publishing,start,persona_x_initial_plan,36,36,36,0,100.0,100.0,0.0,1.0,1691.54121993003321453040,46.98725610916759
2025-11-01,2025-11-01,0,Medical_Professionals,free,persona_x_initial_plan,13,13,13,0,100.0,100.0,0.0,1.0,8.38520582958904077000,0.6450158330453107
2025-11-01,2025-11-01,0,Medical_Professionals,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,2.82131506849315090000,2.821315068493151
2025-11-01,2025-11-01,0,Medical_Professionals,start,persona_x_initial_plan,15,15,15,0,100.0,100.0,0.0,1.0,144.32771607569806170900,9.62184773837987
2025-11-01,2025-11-01,0,Others,business,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,1.0,375.92028709205537148570,53.70289815600791
2025-11-01,2025-11-01,0,Others,free,persona_x_initial_plan,131,129,129,0,98.47,98.47,0.0,1.0,1696.86295091379820582959,12.953152297051894
2025-11-01,2025-11-01,0,Others,plus,persona_x_initial_plan,63,63,63,0,100.0,100.0,0.0,1.0,1561.36541127175952247549,24.783577956694597
2025-11-01,2025-11-01,0,Others,start,persona_x_initial_plan,160,160,160,0,100.0,100.0,0.0,1.0,3200.64295789269946329954,20.004018486829374
2025-11-01,2025-11-01,0,Professeur,free,persona_x_initial_plan,39,38,38,0,97.44,97.44,0.0,1.0,339.80261285485949609281,8.71288750909896
2025-11-01,2025-11-01,0,Professeur,plus,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,1.0,18.81918441380289167587,2.6884549162575557
2025-11-01,2025-11-01,0,Professeur,start,persona_x_initial_plan,29,29,29,0,100.0,100.0,0.0,1.0,591.49510297143925873940,20.39638286108411
2025-11-01,2025-11-01,0,Repair,free,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,1.0,14.10990936818485840503,2.0157013383121227
2025-11-01,2025-11-01,0,Repair,start,persona_x_initial_plan,8,8,8,0,100.0,100.0,0.0,1.0,153.20627092562412569500,19.150783865703016
2025-11-01,2025-11-01,0,Repair_Installation,free,persona_x_initial_plan,3,3,3,0,100.0,100.0,0.0,1.0,148.73587340294042396600,49.57862446764681
2025-11-01,2025-11-01,0,Repair_Installation,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,2.41704271939685790000,2.417042719396858
2025-11-01,2025-11-01,0,Repair_Installation,start,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,122.81056986644143530000,24.562113973288287
2025-11-01,2025-11-01,0,Restauration,free,persona_x_initial_plan,20,20,20,0,100.0,100.0,0.0,1.0,514.18685487068760624500,25.709342743534382
2025-11-01,2025-11-01,0,Restauration,plus,persona_x_initial_plan,8,8,8,0,100.0,100.0,0.0,1.0,566.85138731178026942060,70.85642341397254
2025-11-01,2025-11-01,0,Restauration,start,persona_x_initial_plan,31,31,31,0,100.0,100.0,0.0,1.0,1352.07680707949714360100,43.61538087353216
2025-11-01,2025-11-01,0,Retail,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,165.24135385580777890000,33.048270771161555
2025-11-01,2025-11-01,0,Retail,free,persona_x_initial_plan,110,109,109,0,99.09,99.09,0.0,1.0,2464.49576382622207024105,22.404506943874747
2025-11-01,2025-11-01,0,Retail,plus,persona_x_initial_plan,45,45,45,0,100.0,100.0,0.0,1.0,1867.81553648176745196414,41.50701192181705
2025-11-01,2025-11-01,0,Retail,start,persona_x_initial_plan,161,160,160,0,99.38,99.38,0.0,1.0,5987.02373182720848869012,37.18648280638018
2025-11-01,2025-11-01,0,Wholesale,business,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,1.0,288.12799675983878677100,72.03199918995969
2025-11-01,2025-11-01,0,Wholesale,free,persona_x_initial_plan,18,18,18,0,100.0,100.0,0.0,1.0,337.46322647254333992900,18.747957026252408
2025-11-01,2025-11-01,0,Wholesale,plus,persona_x_initial_plan,17,17,17,0,100.0,100.0,0.0,1.0,488.91537220546494840700,28.759727776792058
2025-11-01,2025-11-01,0,Wholesale,start,persona_x_initial_plan,23,22,22,0,95.65,95.65,0.0,1.0,879.39004249192148731727,38.2343496735618
2025-11-01,2025-12-01,1,ALL,business,initial_plan,50,46,46,0,92.0,92.0,0.0,2.0,5506.52802454436426170270,110.13056049088729
2025-11-01,2025-12-01,1,ALL,free,initial_plan,926,886,885,1,95.68,95.57,0.11,2.0,19533.04475652985893880658,21.09400081698689
2025-11-01,2025-12-01,1,ALL,plus,initial_plan,361,348,348,0,96.4,96.4,0.0,2.0,30698.99086042296252106945,85.038755846047
2025-11-01,2025-12-01,1,ALL,start,initial_plan,1098,1074,1074,0,97.81,97.81,0.0,2.0,42900.75005515409704090473,39.07172136170683
2025-11-01,2025-12-01,1,ALL,ALL,overall,2435,2354,2353,1,96.67,96.63,0.04,2.0,98639.31369665128276248346,40.508958396982045
2025-11-01,2025-12-01,1,Automobile_Trade_Repair,ALL,persona,94,89,89,0,94.68,94.68,0.0,2.0,4692.56210886285053786032,49.92087349854096
2025-11-01,2025-12-01,1,BTP,ALL,persona,450,441,441,0,98.0,98.0,0.0,2.0,28322.90236232322990249677,62.93978302738496
2025-11-01,2025-12-01,1,Bankers_Insurance,ALL,persona,32,31,31,0,96.88,96.88,0.0,2.0,1536.33348305781736102000,48.01042134555679
2025-11-01,2025-12-01,1,Bikers_Drivers,ALL,persona,157,143,143,0,91.08,91.08,0.0,2.0,4678.32481662687094635622,29.798247239661602
2025-11-01,2025-12-01,1,Cleaning_CallCenters,ALL,persona,16,16,16,0,100.0,100.0,0.0,2.0,563.85539484367134422220,35.24096217772946
2025-11-01,2025-12-01,1,Consultant,ALL,persona,436,429,429,0,98.39,98.39,0.0,2.0,14925.60775208682200529365,34.233045302951425
2025-11-01,2025-12-01,1,Developer_IT,ALL,persona,230,223,223,0,96.96,96.96,0.0,2.0,7228.66112454542522929302,31.428961411067064
2025-11-01,2025-12-01,1,Media_Publishing,ALL,persona,89,86,86,0,96.63,96.63,0.0,2.0,2297.22857005174409485060,25.81155696687353
2025-11-01,2025-12-01,1,Medical_Professionals,ALL,persona,29,29,29,0,100.0,100.0,0.0,2.0,533.30160442374288595200,18.389710497370444
2025-11-01,2025-12-01,1,Others,ALL,persona,361,347,346,1,96.12,95.84,0.28,2.0,10721.99539124347262211737,29.700818258292166
2025-11-01,2025-12-01,1,Professeur,ALL,persona,75,71,71,0,94.67,94.67,0.0,2.0,1098.96726204346076703375,14.652896827246144
2025-11-01,2025-12-01,1,Repair,ALL,persona,15,14,14,0,93.33,93.33,0.0,2.0,238.12074816394236204250,15.874716544262823
2025-11-01,2025-12-01,1,Repair_Installation,ALL,persona,9,9,9,0,100.0,100.0,0.0,2.0,484.17178063289578208000,53.7968645147662
2025-11-01,2025-12-01,1,Restauration,ALL,persona,59,56,56,0,94.92,94.92,0.0,2.0,2803.05072842862121692100,47.50933438014612
2025-11-01,2025-12-01,1,Retail,ALL,persona,321,309,309,0,96.26,96.26,0.0,2.0,14084.08273575984018472135,43.87564715189981
2025-11-01,2025-12-01,1,Wholesale,ALL,persona,62,61,61,0,98.39,98.39,0.0,2.0,4430.14783355687552022271,71.45399731543347
2025-11-01,2025-12-01,1,Automobile_Trade_Repair,business,persona_x_initial_plan,5,3,3,0,60.0,60.0,0.0,2.0,599.59170214064283640000,119.91834042812857
2025-11-01,2025-12-01,1,Automobile_Trade_Repair,free,persona_x_initial_plan,29,28,28,0,96.55,96.55,0.0,2.0,347.15602961142528112122,11.970897572807768
2025-11-01,2025-12-01,1,Automobile_Trade_Repair,plus,persona_x_initial_plan,27,27,27,0,100.0,100.0,0.0,2.0,2093.09970860499511831290,77.52221142981463
2025-11-01,2025-12-01,1,Automobile_Trade_Repair,start,persona_x_initial_plan,33,31,31,0,93.94,93.94,0.0,2.0,1652.71466850578730202620,50.082262681993555
2025-11-01,2025-12-01,1,BTP,business,persona_x_initial_plan,12,12,12,0,100.0,100.0,0.0,2.0,1479.14968919752242624600,123.26247409979352
2025-11-01,2025-12-01,1,BTP,free,persona_x_initial_plan,147,143,143,0,97.28,97.28,0.0,2.0,6864.23244418808371888767,46.695458804000566
2025-11-01,2025-12-01,1,BTP,plus,persona_x_initial_plan,93,91,91,0,97.85,97.85,0.0,2.0,9788.98113724462348196770,105.2578616908024
2025-11-01,2025-12-01,1,BTP,start,persona_x_initial_plan,198,195,195,0,98.48,98.48,0.0,2.0,10190.53909169300027539540,51.467369149964654
2025-11-01,2025-12-01,1,Bankers_Insurance,free,persona_x_initial_plan,20,19,19,0,95.0,95.0,0.0,2.0,889.58796446792707969000,44.47939822339636
2025-11-01,2025-12-01,1,Bankers_Insurance,start,persona_x_initial_plan,12,12,12,0,100.0,100.0,0.0,2.0,646.74551858989028133000,53.895459882490854
2025-11-01,2025-12-01,1,Bikers_Drivers,business,persona_x_initial_plan,6,5,5,0,83.33,83.33,0.0,2.0,572.52542029354580912660,95.42090338225763
2025-11-01,2025-12-01,1,Bikers_Drivers,free,persona_x_initial_plan,56,51,51,0,91.07,91.07,0.0,2.0,816.99653866530127527260,14.589223904737523
2025-11-01,2025-12-01,1,Bikers_Drivers,plus,persona_x_initial_plan,33,28,28,0,84.85,84.85,0.0,2.0,1643.56285325848373986710,49.80493494722678
2025-11-01,2025-12-01,1,Bikers_Drivers,start,persona_x_initial_plan,62,59,59,0,95.16,95.16,0.0,2.0,1645.24000440954012208992,26.536129103379682
2025-11-01,2025-12-01,1,Cleaning_CallCenters,business,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,2.0,87.17705090350627200000,87.17705090350627
2025-11-01,2025-12-01,1,Cleaning_CallCenters,free,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,2.0,44.37213726132062001220,8.874427452264124
2025-11-01,2025-12-01,1,Cleaning_CallCenters,plus,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,2.0,212.85393748204173461000,53.213484370510436
2025-11-01,2025-12-01,1,Cleaning_CallCenters,start,persona_x_initial_plan,6,6,6,0,100.0,100.0,0.0,2.0,219.45226919680271760000,36.57537819946712
2025-11-01,2025-12-01,1,Consultant,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,2.0,423.53023098575342690710,84.70604619715068
2025-11-01,2025-12-01,1,Consultant,free,persona_x_initial_plan,184,179,179,0,97.28,97.28,0.0,2.0,3503.93613389600637799465,19.043131162478296
