account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,comparable_segment_companies,comparable_segment_company_share_pct
Churned proxy,Automobile_Trade_Repair,ALL,persona,31,0.00000000000000000000,5104.75333672568055702276,270,11.48
Never monetized,Automobile_Trade_Repair,ALL,persona,3,0.00000000000000000000,,270,1.11
Healthy revenue account,BTP,ALL,persona,818,52537.96512494939800752136,228917.50169501032265246253,1151,71.07
Watch - revenue declining,BTP,ALL,persona,179,10700.35565051394472236653,123557.98488227944835386547,1151,15.55
Recovered / monitor,BTP,ALL,persona,12,254.99182245150631186610,1306.30184317432366770330,1151,1.04
At-risk,BTP,ALL,persona,44,0.00000000000000000000,11292.86030506316986617048,1151,3.82
Churned proxy,BTP,ALL,persona,97,0.00000000000000000000,8863.60253260906735473997,1151,8.43
Never monetized,BTP,ALL,persona,1,0.00000000000000000000,,1151,0.09
Healthy revenue account,Bankers_Insurance,ALL,persona,65,2257.00422153588791418600,11485.58518196128082409365,86,75.58
Watch - revenue declining,Bankers_Insurance,ALL,persona,8,466.34471237424622346600,6854.61794724043960163300,86,9.3
Recovered / monitor,Bankers_Insurance,ALL,persona,3,11.21988240000000100000,110.21944304520405418700,86,3.49
At-risk,Bankers_Insurance,ALL,persona,1,0.00000000000000000000,4.16739726027397330000,86,1.16
Churned proxy,Bankers_Insurance,ALL,persona,9,0.00000000000000000000,602.33442798148784913210,86,10.47
Healthy revenue account,Bikers_Drivers,ALL,persona,256,9857.90718908563083155314,41818.13248422722673777223,409,62.59
Watch - revenue declining,Bikers_Drivers,ALL,persona,39,1980.06833618629680258940,17182.64752776737243420144,409,9.54
Recovered / monitor,Bikers_Drivers,ALL,persona,8,59.52012017808206575368,977.57496189688217342731,409,1.96
At-risk,Bikers_Drivers,ALL,persona,26,0.00000000000000000000,4053.32659032277220528119,409,6.36
Churned proxy,Bikers_Drivers,ALL,persona,77,0.00000000000000000000,6809.81609888805836485570,409,18.83
Never monetized,Bikers_Drivers,ALL,persona,3,0.00000000000000000000,,409,0.73
