revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,segment_company_share_pct,revenue_type,last_observed_revenue
Active,Bankers_Insurance,ALL,persona,257,93.8,Deposit interest,6906.58708048821959505668
Active,Bankers_Insurance,ALL,persona,257,93.8,Interchange,1877.36164019998984237400
Active,Bankers_Insurance,ALL,persona,257,93.8,Subscription,1219.76120967700000000000
Active,Bankers_Insurance,ALL,persona,257,93.8,Total revenue,11431.76993036520943743068
At-risk,Bankers_Insurance,ALL,persona,7,2.55,Banking fees,0.00000000000000000000
At-risk,Bankers_Insurance,ALL,persona,7,2.55,Deposit interest,19.83502084657533244820
At-risk,Bankers_Insurance,ALL,persona,7,2.55,Interchange,1.31122799999999360000
At-risk,Bankers_Insurance,ALL,persona,7,2.55,Subscription,18.00000000000000000000
At-risk,Bankers_Insurance,ALL,persona,7,2.55,Total revenue,39.14624884657532604820
Churned proxy,Bankers_Insurance,ALL,persona,10,3.65,Banking fees,276.00000000000000000000
Churned proxy,Bankers_Insurance,ALL,persona,10,3.65,Deposit interest,10.61428882739726244167
Churned proxy,Bankers_Insurance,ALL,persona,10,3.65,Interchange,2.35894436371497700000
Churned proxy,Bankers_Insurance,ALL,persona,10,3.65,Subscription,26.00000000000000000000
Churned proxy,Bankers_Insurance,ALL,persona,10,3.65,Total revenue,314.97323319111223944167
Active,Bikers_Drivers,ALL,persona,881,84.47,Banking fees,2743.38000000000000078000
Active,Bikers_Drivers,ALL,persona,881,84.47,Deposit interest,3491.26728669315075429727
Active,Bikers_Drivers,ALL,persona,881,84.47,Interchange,15816.31627499991409373260
Active,Bikers_Drivers,ALL,persona,881,84.47,Subscription,8831.21959345678125000000
Active,Bikers_Drivers,ALL,persona,881,84.47,Total revenue,30882.18315514984609880987
At-risk,Bikers_Drivers,ALL,persona,73,7.0,Banking fees,397.16000000000000007100
At-risk,Bikers_Drivers,ALL,persona,73,7.0,Deposit interest,31.89906206301370193188
At-risk,Bikers_Drivers,ALL,persona,73,7.0,Interchange,487.41496199999790838000
At-risk,Bikers_Drivers,ALL,persona,73,7.0,Subscription,562.83750000000000000000
At-risk,Bikers_Drivers,ALL,persona,73,7.0,Total revenue,1479.31152406301161038288
Churned proxy,Bikers_Drivers,ALL,persona,89,8.53,Banking fees,612.50000000000000014000
Churned proxy,Bikers_Drivers,ALL,persona,89,8.53,Deposit interest,111.01038676602745643250
Churned proxy,Bikers_Drivers,ALL,persona,89,8.53,Interchange,1649.87732383672010853000
