month_start,persona,initial_subscription_group,segment_level,active_at_start,post_activation_closed_during_month,activated_during_month,activated_and_closed_same_month,active_at_end,monthly_post_activation_closure_rate_pct
2026-03-01,Developer_IT,free,persona_x_initial_plan,437,2,93,1,527,0.46
2026-03-01,Developer_IT,plus,persona_x_initial_plan,77,3,15,0,89,3.9
2026-03-01,Developer_IT,start,persona_x_initial_plan,472,2,85,0,555,0.42
2026-03-01,Media_Publishing,business,persona_x_initial_plan,3,0,0,0,3,0.0
2026-03-01,Media_Publishing,free,persona_x_initial_plan,204,2,34,0,236,0.98
2026-03-01,Media_Publishing,plus,persona_x_initial_plan,29,0,4,0,33,0.0
2026-03-01,Media_Publishing,start,persona_x_initial_plan,209,3,54,0,260,1.44
2026-03-01,Medical_Professionals,free,persona_x_initial_plan,55,2,23,0,76,3.64
2026-03-01,Medical_Professionals,plus,persona_x_initial_plan,10,0,0,0,10,0.0
2026-03-01,Medical_Professionals,start,persona_x_initial_plan,75,1,15,2,87,1.33
2026-03-01,Others,business,persona_x_initial_plan,31,6,6,0,31,19.35
2026-03-01,Others,free,persona_x_initial_plan,732,5,175,1,901,0.68
2026-03-01,Others,plus,persona_x_initial_plan,255,6,59,0,308,2.35
2026-03-01,Others,start,persona_x_initial_plan,851,15,213,3,1046,1.76
2026-03-01,Professeur,business,persona_x_initial_plan,3,1,0,0,2,33.33
2026-03-01,Professeur,free,persona_x_initial_plan,158,2,33,0,189,1.27
2026-03-01,Professeur,plus,persona_x_initial_plan,19,0,7,0,26,0.0
2026-03-01,Professeur,start,persona_x_initial_plan,177,3,41,0,215,1.69
2026-03-01,Repair,business,persona_x_initial_plan,0,0,0,0,0,
2026-03-01,Repair,free,persona_x_initial_plan,37,0,12,0,49,0.0
2026-03-01,Repair,plus,persona_x_initial_plan,8,0,2,0,10,0.0
2026-03-01,Repair,start,persona_x_initial_plan,29,0,4,0,33,0.0
2026-03-01,Repair_Installation,business,persona_x_initial_plan,0,0,1,0,1,
2026-03-01,Repair_Installation,free,persona_x_initial_plan,8,0,3,0,11,0.0
2026-03-01,Repair_Installation,plus,persona_x_initial_plan,4,0,0,0,4,0.0
2026-03-01,Repair_Installation,start,persona_x_initial_plan,16,1,1,0,16,6.25
2026-03-01,Restauration,business,persona_x_initial_plan,1,0,1,0,2,0.0
2026-03-01,Restauration,free,persona_x_initial_plan,119,2,17,0,134,1.68
2026-03-01,Restauration,plus,persona_x_initial_plan,59,0,9,0,68,0.0
2026-03-01,Restauration,start,persona_x_initial_plan,141,1,31,0,171,0.71
2026-03-01,Retail,business,persona_x_initial_plan,16,2,4,1,17,12.5
2026-03-01,Retail,free,persona_x_initial_plan,657,11,126,1,771,1.67
2026-03-01,Retail,plus,persona_x_initial_plan,191,4,29,0,216,2.09
2026-03-01,Retail,start,persona_x_initial_plan,736,14,152,3,871,1.9
2026-03-01,Wholesale,business,persona_x_initial_plan,12,0,2,0,14,0.0
2026-03-01,Wholesale,free,persona_x_initial_plan,78,1,22,0,99,1.28
2026-03-01,Wholesale,plus,persona_x_initial_plan,59,0,14,0,73,0.0
2026-03-01,Wholesale,start,persona_x_initial_plan,134,2,24,0,156,1.49
2026-04-01,ALL,business,initial_plan,230,19,53,1,263,8.26
2026-04-01,ALL,free,initial_plan,5653,75,1271,12,6837,1.33
2026-04-01,ALL,plus,initial_plan,1806,45,308,4,2065,2.49
2026-04-01,ALL,start,initial_plan,6342,98,1240,11,7473,1.55
2026-04-01,ALL,ALL,overall,14031,237,2872,28,16638,1.69
2026-04-01,Automobile_Trade_Repair,ALL,persona,598,11,98,2,683,1.84
2026-04-01,BTP,ALL,persona,2519,48,497,4,2964,1.91
2026-04-01,Bankers_Insurance,ALL,persona,211,3,58,0,266,1.42
2026-04-01,Bikers_Drivers,ALL,persona,794,19,174,3,946,2.39
2026-04-01,Cleaning_CallCenters,ALL,persona,81,1,10,0,90,1.23
2026-04-01,Consultant,ALL,persona,2503,28,485,2,2958,1.12
2026-04-01,Developer_IT,ALL,persona,1186,26,211,3,1368,2.19
2026-04-01,Media_Publishing,ALL,persona,532,4,104,1,631,0.75
2026-04-01,Medical_Professionals,ALL,persona,173,4,43,0,212,2.31
2026-04-01,Others,ALL,persona,2286,38,523,9,2762,1.66
2026-04-01,Professeur,ALL,persona,432,7,93,0,518,1.62
2026-04-01,Repair,ALL,persona,92,2,22,1,111,2.17
2026-04-01,Repair_Installation,ALL,persona,32,0,5,0,37,0.0
2026-04-01,Restauration,ALL,persona,375,5,82,0,452,1.33
2026-04-01,Retail,ALL,persona,1875,31,390,2,2232,1.65
2026-04-01,Wholesale,ALL,persona,342,10,77,1,408,2.92
2026-04-01,Automobile_Trade_Repair,business,persona_x_initial_plan,21,0,3,0,24,0.0
2026-04-01,Automobile_Trade_Repair,free,persona_x_initial_plan,163,3,28,0,188,1.84
2026-04-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,132,3,18,0,147,2.27
2026-04-01,Automobile_Trade_Repair,start,persona_x_initial_plan,282,5,49,2,324,1.77
2026-04-01,BTP,business,persona_x_initial_plan,76,4,14,0,86,5.26
2026-04-01,BTP,free,persona_x_initial_plan,939,12,209,2,1134,1.28
2026-04-01,BTP,plus,persona_x_initial_plan,494,11,79,1,561,2.23
2026-04-01,BTP,start,persona_x_initial_plan,1010,21,195,1,1183,2.08
2026-04-01,Bankers_Insurance,business,persona_x_initial_plan,0,0,1,0,1,
2026-04-01,Bankers_Insurance,free,persona_x_initial_plan,122,2,30,0,150,1.64
2026-04-01,Bankers_Insurance,plus,persona_x_initial_plan,11,0,3,0,14,0.0
2026-04-01,Bankers_Insurance,start,persona_x_initial_plan,78,1,24,0,101,1.28
2026-04-01,Bikers_Drivers,business,persona_x_initial_plan,24,3,6,0,27,12.5
2026-04-01,Bikers_Drivers,free,persona_x_initial_plan,272,3,69,1,337,1.1
2026-04-01,Bikers_Drivers,plus,persona_x_initial_plan,130,3,20,0,147,2.31
2026-04-01,Bikers_Drivers,start,persona_x_initial_plan,368,10,79,2,435,2.72
2026-04-01,Cleaning_CallCenters,business,persona_x_initial_plan,2,0,0,0,2,0.0
2026-04-01,Cleaning_CallCenters,free,persona_x_initial_plan,32,0,3,0,35,0.0
2026-04-01,Cleaning_CallCenters,plus,persona_x_initial_plan,14,1,2,0,15,7.14
2026-04-01,Cleaning_CallCenters,start,persona_x_initial_plan,33,0,5,0,38,0.0
