activation_month,observation_month,months_since_activation,segment_level,persona,initial_subscription_group,activated_cohort_size,active_companies,at_risk_companies,churned_proxy_companies,never_monetized_companies,active_share_pct,at_risk_share_pct,churned_proxy_share_pct,never_monetized_share_pct,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,revenue_per_original_activated_company
2025-12-01,2026-01-01,1,persona_x_initial_plan,Restauration,plus,13,13,0,0,0,100.0,0.0,0.0,0.0,402.09000000000000000000,2189.06593199998875900000,0.00000000000000000000,137.30454167835616640265,2728.46047367834492540265,209.88157489833424
2025-12-01,2026-01-01,1,persona_x_initial_plan,Restauration,start,33,33,0,0,0,100.0,0.0,0.0,0.0,292.00000000000000000000,598.93856999999673910000,4.80000000000000000000,163.95681119835617086110,1059.69538119835290996110,32.11198124843494
2025-12-01,2026-01-01,1,persona_x_initial_plan,Retail,business,3,2,1,0,0,66.67,33.33,0.0,0.0,160.00000000000000000000,164.02670999999912200000,0.00000000000000000000,2.42960277863013762000,326.45631277862925962000,108.81877092620975
2025-12-01,2026-01-01,1,persona_x_initial_plan,Retail,free,172,167,4,0,1,97.09,2.33,0.0,0.58,11.00000000000000000000,1116.71978399999420741790,134.39999999999999700000,554.80756608328773977412,1816.92735008328194419202,10.56353110513536
2025-12-01,2026-01-01,1,persona_x_initial_plan,Retail,plus,57,54,3,0,0,94.74,5.26,0.0,0.0,1181.66666666600000000000,1839.33858599999044853000,72.42000000000000000000,440.41486648657532682086,3533.84011915256577535086,61.99719507285203
2025-12-01,2026-01-01,1,persona_x_initial_plan,Retail,start,155,149,5,0,1,96.13,3.23,0.0,0.65,1554.94000000000000300000,2618.72937179998648028846,73.30000000000000000000,797.80613959506857143420,5044.77551139505505472266,32.5469387831939
2025-12-01,2026-01-01,1,persona_x_initial_plan,Wholesale,business,5,5,0,0,0,100.0,0.0,0.0,0.0,400.00000000000000000000,80.03802599999956480000,0.00000000000000000000,2.79356806136986332000,482.83159406136942812000,96.56631881227388
2025-12-01,2026-01-01,1,persona_x_initial_plan,Wholesale,free,12,11,1,0,0,91.67,8.33,0.0,0.0,0.00000000000000000000,11.64686399999993879000,8.80000000000000000000,47.82070038191780784000,68.26756438191774663000,5.688963698493146
2025-12-01,2026-01-01,1,persona_x_initial_plan,Wholesale,plus,16,16,0,0,0,100.0,0.0,0.0,0.0,365.00000000000000000000,857.93000939999553437000,12.00000000000000000000,189.87311721753427335360,1424.80312661752980772360,89.05019541359562
2025-12-01,2026-01-01,1,persona_x_initial_plan,Wholesale,start,34,33,0,0,1,97.06,0.0,0.0,2.94,326.00000000000000000000,434.73689819999768854800,30.92000000000000000000,579.74530144493155205120,1371.40219964492924059920,40.33535881308615
2025-12-01,2026-02-01,2,initial_plan,ALL,business,65,39,26,0,0,60.0,40.0,0.0,0.0,2906.00000000000000000000,4464.67015799998183892000,23.46000000000000000000,702.05362944438365659330,8096.18378744436549551330,124.55667365299024
